2,5890080792502186
4,084805886351873
4,405367811607823
2,093761850390228
2,1283537438699582
5,0786146533461825
5,383035807832977
5,483626830098183
2,5997359850299366
1,8451498293333486
5,190852113518966
5,734768125643187
2,702522830434884
4,072159024588464
1,4951675611770086
5,763639919824174
1,5965865632605998
5,783001344371998
5,043702272540515
2,7863089114013406
4,593074566983145
4,978629210959065
3,1924090950106425
2,392842732927722
1,7671246402492056
5,338682133894469
3,6821071074928904
3,121613678941629
2,4243078191145297
4,2802211717961525
3,7121389165470506
2,4368757663371197
5,650606084376905
4,042212627912687
4,348022676666677
3,7480904424781705
4,36547572957107
5,067149271157051
4,5402274746471445
2,828521533635755
